layer_idx,layer_name,kind,tensor_zero_ratio,msb_zero_ratio,lsb_zero_ratio,num_forwards,total_numel_seen
0,conv1,input_activation,0.005684091998264193,0.08160335592925548,0.05922555938363075,50,30105600
1,layer1.0.conv1,input_activation,0.23271275132894517,0.722231217622757,0.26713969111442565,50,40140800
2,layer1.0.conv2,input_activation,0.4185237729549408,0.8656458985805512,0.43826884269714356,50,40140800
3,layer1.1.conv1,input_activation,0.19875650197267533,0.6955056703090667,0.23427196264266967,50,40140800
4,layer1.1.conv2,input_activation,0.5428060966730118,0.9059091460704803,0.5565252810716629,50,40140800
5,layer2.0.conv1,input_activation,0.2514404046535492,0.7241077160835266,0.2835519218444824,50,40140800
6,layer2.0.conv2,input_activation,0.6019973170757293,0.8752261567115783,0.6158406400680542,50,20070400
7,layer2.0.downsample.0,input_activation,0.2514404046535492,0.7241077160835266,0.2835519218444824,50,40140800
8,layer2.1.conv1,input_activation,0.5091443175077438,0.8854091119766235,0.5243928384780884,50,20070400
9,layer2.1.conv2,input_activation,0.7637614572048187,0.9414757549762726,0.7706544971466065,50,20070400
10,layer3.0.conv1,input_activation,0.5268930351734161,0.9178096604347229,0.5386016714572907,50,20070400
11,layer3.0.conv2,input_activation,0.6549245619773865,0.9153527581691742,0.6655469739437103,50,10035200
12,layer3.0.downsample.0,input_activation,0.5268930351734161,0.9178096604347229,0.5386016714572907,50,20070400
13,layer3.1.conv1,input_activation,0.5604888761043548,0.921565889120102,0.5721188461780549,50,10035200
14,layer3.1.conv2,input_activation,0.8128839480876923,0.9635852813720703,0.8175945687294006,50,10035200
15,layer4.0.conv1,input_activation,0.5720020544528961,0.9324964141845703,0.5819189441204071,50,10035200
16,layer4.0.conv2,input_activation,0.8176416981220246,0.9514534831047058,0.8232150793075561,50,5017600
17,layer4.0.downsample.0,input_activation,0.5720020544528961,0.9324964141845703,0.5819189441204071,50,10035200
18,layer4.1.conv1,input_activation,0.801918443441391,0.9476650202274323,0.8079300916194916,50,5017600
19,layer4.1.conv2,input_activation,0.810560028553009,0.9482718849182129,0.8165318131446838,50,5017600
