layer_idx,layer_name,tensor_zero_ratio_weight,msb_zero_ratio_weight,lsb_zero_ratio_weight,tensor_zero_ratio_input,msb_zero_ratio_input,lsb_zero_ratio_input
0,conv1,0.0215773805975914,0.22587159276008606,0.06366921961307526,0.005684091998264193,0.08160335592925548,0.05922555938363075
1,layer1.0.conv1,0.1550835520029068,0.464111328125,0.1797417551279068,0.23271275132894517,0.722231217622757,0.26713969111442565
2,layer1.0.conv2,0.0240614153444767,0.2988010048866272,0.0644259974360466,0.4185237729549408,0.8656458985805512,0.43826884269714356
3,layer1.1.conv1,0.02555338479578495,0.3165147602558136,0.0636664479970932,0.19875650197267533,0.6955056703090667,0.23427196264266967
4,layer1.1.conv2,0.01934136264026165,0.2709147036075592,0.0624728724360466,0.5428060966730118,0.9059091460704803,0.5565252810716629
5,layer2.0.conv1,0.0229627825319767,0.2903645932674408,0.064208984375,0.2514404046535492,0.7241077160835266,0.2835519218444824
6,layer2.0.conv2,0.02518717385828495,0.3218926191329956,0.0620252825319767,0.6019973170757293,0.8752261567115783,0.6158406400680542
7,layer2.0.downsample.0,0.01904296875,0.244140625,0.06494140625,0.2514404046535492,0.7241077160835266,0.2835519218444824
8,layer2.1.conv1,0.0261569544672966,0.3205702006816864,0.0626695454120636,0.5091443175077438,0.8854091119766235,0.5243928384780884
9,layer2.1.conv2,0.0189344622194767,0.26397705078125,0.0620591901242733,0.7637614572048187,0.9414757549762726,0.7706544971466065
10,layer3.0.conv1,0.0231051966547966,0.2954271137714386,0.0620320625603199,0.5268930351734161,0.9178096604347229,0.5386016714572907
11,layer3.0.conv2,0.02469719760119915,0.3148549497127533,0.0624101422727108,0.6549245619773865,0.9153527581691742,0.6655469739437103
12,layer3.0.downsample.0,0.0166015625,0.22186279296875,0.06390380859375,0.5268930351734161,0.9178096604347229,0.5386016714572907
13,layer3.1.conv1,0.0219082310795784,0.2838779091835022,0.0623185895383358,0.5604888761043548,0.921565889120102,0.5721188461780549
14,layer3.1.conv2,0.01856316439807415,0.2534688413143158,0.0624355748295784,0.8128839480876923,0.9635852813720703,0.8175945687294006
15,layer4.0.conv1,0.01868269219994545,0.2523227334022522,0.06222788617014885,0.5720020544528961,0.9324964141845703,0.5819189441204071
16,layer4.0.conv2,0.02043830044567585,0.27271905541419983,0.062426671385765076,0.8176416981220246,0.9514534831047058,0.8232150793075561
17,layer4.0.downsample.0,0.01581573486328125,0.221160888671875,0.06180572509765625,0.5720020544528961,0.9324964141845703,0.5819189441204071
18,layer4.1.conv1,0.017233530059456825,0.2340359091758728,0.06262461096048355,0.801918443441391,0.9476650202274323,0.8079300916194916
19,layer4.1.conv2,0.020578596740961075,0.26858097314834595,0.06251101940870285,0.810560028553009,0.9482718849182129,0.8165318131446838
