layer_idx,layer_name,tensor_zero_ratio_weight,msb_zero_ratio_weight,lsb_zero_ratio_weight,tensor_zero_ratio_input,msb_zero_ratio_input,lsb_zero_ratio_input
1,encoder.layers.encoder_layer_0.mlp.0,0.028191884979605675,0.3247528076171875,0.06293445080518723,0.7020684893314655,0.8456888244702265,0.7022559688641474
2,encoder.layers.encoder_layer_0.mlp.3,0.044537439942359924,0.3786485493183136,0.0733795166015625,0.7419083301837628,0.793666449876932,0.7424127367826608
4,encoder.layers.encoder_layer_1.mlp.0,0.02260843850672245,0.2810732424259186,0.0640784353017807,0.3468573849934798,0.6650638534472539,0.3509387901196113
5,encoder.layers.encoder_layer_1.mlp.3,0.025853898376226425,0.2860734760761261,0.06655629724264145,0.29463444306300235,0.35953624890400815,0.2951613779251392
7,encoder.layers.encoder_layer_2.mlp.0,0.0206900704652071,0.26990848779678345,0.06182267889380455,0.35135588966883147,0.6497446115200336,0.3581357690004202
8,encoder.layers.encoder_layer_2.mlp.3,0.02037980780005455,0.2664731442928314,0.06450864672660828,0.18870321030800158,0.28138779676877534,0.19093657686160162
10,encoder.layers.encoder_layer_3.mlp.0,0.015605079010128975,0.21968799829483032,0.06263860315084457,0.299393688256924,0.5879837962297293,0.31580935762478757
11,encoder.layers.encoder_layer_3.mlp.3,0.019830916076898575,0.264312744140625,0.06316757202148438,0.19949616033297318,0.2565273642539978,0.20111089257093576
13,encoder.layers.encoder_layer_4.mlp.0,0.013622707687318325,0.20467673242092133,0.062316469848155975,0.27802421954961926,0.5609427461257348,0.2963908498103802
14,encoder.layers.encoder_layer_4.mlp.3,0.017251333221793175,0.2456987202167511,0.06286706030368805,0.1894264633838947,0.2363290786743164,0.19054889793579394
16,encoder.layers.encoder_layer_5.mlp.0,0.012758467346429825,0.19401465356349945,0.0623711496591568,0.21780012891842768,0.5283799905043381,0.237671265235314
17,encoder.layers.encoder_layer_5.mlp.3,0.017197079956531525,0.23837661743164062,0.06312518566846848,0.36121833553681004,0.4022894066113692,0.36132647211735064
19,encoder.layers.encoder_layer_6.mlp.0,0.0125596784055233,0.19302579760551453,0.062322404235601425,0.17587308471019453,0.5013187390107375,0.19476759319122022
20,encoder.layers.encoder_layer_6.mlp.3,0.0141923688352108,0.21215227246284485,0.06259875744581223,0.1416335919728646,0.17970758103407347,0.14277741427604967
22,encoder.layers.encoder_layer_7.mlp.0,0.011998494155704975,0.1865268349647522,0.062297821044921875,0.12814818494595015,0.48417849036363453,0.14740844185535723
23,encoder.layers.encoder_layer_7.mlp.3,0.013507843017578125,0.20451228320598602,0.06254620105028152,0.19898511125491217,0.2287698078614015,0.1998482461159046
25,encoder.layers.encoder_layer_8.mlp.0,0.011617448180913925,0.17919795215129852,0.06269370019435883,0.056118787767795414,0.41450082568021923,0.0824930931513126
26,encoder.layers.encoder_layer_8.mlp.3,0.01517317071557045,0.22513538599014282,0.0625084787607193,0.3108661358173077,0.3225946380541875,0.31120546047504133
28,encoder.layers.encoder_layer_9.mlp.0,0.0115220807492733,0.17812389135360718,0.0623219795525074,0.04282302208817922,0.3895738239471729,0.07283252191085082
29,encoder.layers.encoder_layer_9.mlp.3,0.015657637268304825,0.23235447704792023,0.06262842565774918,0.1213940238723388,0.13486139992108712,0.12165529338213113
31,encoder.layers.encoder_layer_10.mlp.0,0.011113060638308525,0.17197206616401672,0.062351226806640625,0.03168534129284895,0.3765126375051645,0.06351170688867569
32,encoder.layers.encoder_layer_10.mlp.3,0.013210296630859375,0.1992289274930954,0.0625033900141716,0.1469802982532061,0.1570705072237895,0.14724992559506342
34,encoder.layers.encoder_layer_11.mlp.0,0.0112448800355196,0.17428334057331085,0.0626746267080307,0.0368671090557025,0.4086575966614943,0.06402388501625794
35,encoder.layers.encoder_layer_11.mlp.3,0.0135481096804142,0.20151138305664062,0.06271786242723465,0.07144478479256997,0.08010874201471989,0.0715728926544006
36,heads.head,0.006832031067460775,0.10887369513511658,0.06252473592758179,0.015387119367145576,0.23009314789221838,0.062262118435823
