layer_idx,layer_name,kind,tensor_zero_ratio,msb_zero_ratio,lsb_zero_ratio,numel,shape
0,encoder.layers.encoder_layer_0.self_attention.out_proj,weight,0.01635063998401165,0.2170833945274353,0.0633697509765625,589824,"(768, 768)"
1,encoder.layers.encoder_layer_0.mlp.0,weight,0.028191884979605675,0.3247528076171875,0.06293445080518723,2359296,"(3072, 768)"
2,encoder.layers.encoder_layer_0.mlp.3,weight,0.044537439942359924,0.3786485493183136,0.0733795166015625,2359296,"(768, 3072)"
3,encoder.layers.encoder_layer_1.self_attention.out_proj,weight,0.0172119140625,0.2393171489238739,0.0622151680290699,589824,"(768, 768)"
4,encoder.layers.encoder_layer_1.mlp.0,weight,0.02260843850672245,0.2810732424259186,0.0640784353017807,2359296,"(3072, 768)"
5,encoder.layers.encoder_layer_1.mlp.3,weight,0.025853898376226425,0.2860734760761261,0.06655629724264145,2359296,"(768, 3072)"
6,encoder.layers.encoder_layer_2.self_attention.out_proj,weight,0.015538533218204975,0.2251044362783432,0.0624440498650074,589824,"(768, 768)"
7,encoder.layers.encoder_layer_2.mlp.0,weight,0.0206900704652071,0.26990848779678345,0.06182267889380455,2359296,"(3072, 768)"
8,encoder.layers.encoder_layer_2.mlp.3,weight,0.02037980780005455,0.2664731442928314,0.06450864672660828,2359296,"(768, 3072)"
9,encoder.layers.encoder_layer_3.self_attention.out_proj,weight,0.0145890973508358,0.2142198383808136,0.0625084787607193,589824,"(768, 768)"
10,encoder.layers.encoder_layer_3.mlp.0,weight,0.015605079010128975,0.21968799829483032,0.06263860315084457,2359296,"(3072, 768)"
11,encoder.layers.encoder_layer_3.mlp.3,weight,0.019830916076898575,0.264312744140625,0.06316757202148438,2359296,"(768, 3072)"
12,encoder.layers.encoder_layer_4.self_attention.out_proj,weight,0.012325710617005825,0.1873677521944046,0.0626305490732193,589824,"(768, 768)"
13,encoder.layers.encoder_layer_4.mlp.0,weight,0.013622707687318325,0.20467673242092133,0.062316469848155975,2359296,"(3072, 768)"
14,encoder.layers.encoder_layer_4.mlp.3,weight,0.017251333221793175,0.2456987202167511,0.06286706030368805,2359296,"(768, 3072)"
15,encoder.layers.encoder_layer_5.self_attention.out_proj,weight,0.012908935546875,0.1920911967754364,0.0628458634018898,589824,"(768, 768)"
16,encoder.layers.encoder_layer_5.mlp.0,weight,0.012758467346429825,0.19401465356349945,0.0623711496591568,2359296,"(3072, 768)"
17,encoder.layers.encoder_layer_5.mlp.3,weight,0.017197079956531525,0.23837661743164062,0.06312518566846848,2359296,"(768, 3072)"
18,encoder.layers.encoder_layer_6.self_attention.out_proj,weight,0.011988322250545025,0.1852484792470932,0.0622168630361557,589824,"(768, 768)"
19,encoder.layers.encoder_layer_6.mlp.0,weight,0.0125596784055233,0.19302579760551453,0.062322404235601425,2359296,"(3072, 768)"
20,encoder.layers.encoder_layer_6.mlp.3,weight,0.0141923688352108,0.21215227246284485,0.06259875744581223,2359296,"(768, 3072)"
21,encoder.layers.encoder_layer_7.self_attention.out_proj,weight,0.010991414077579975,0.1707136332988739,0.0624423548579216,589824,"(768, 768)"
22,encoder.layers.encoder_layer_7.mlp.0,weight,0.011998494155704975,0.1865268349647522,0.062297821044921875,2359296,"(3072, 768)"
23,encoder.layers.encoder_layer_7.mlp.3,weight,0.013507843017578125,0.20451228320598602,0.06254620105028152,2359296,"(768, 3072)"
24,encoder.layers.encoder_layer_8.self_attention.out_proj,weight,0.01123725064098835,0.1702117919921875,0.062957763671875,589824,"(768, 768)"
25,encoder.layers.encoder_layer_8.mlp.0,weight,0.011617448180913925,0.17919795215129852,0.06269370019435883,2359296,"(3072, 768)"
26,encoder.layers.encoder_layer_8.mlp.3,weight,0.01517317071557045,0.22513538599014282,0.0625084787607193,2359296,"(768, 3072)"
27,encoder.layers.encoder_layer_9.self_attention.out_proj,weight,0.010608249343931675,0.1677144318819046,0.0623067207634449,589824,"(768, 768)"
28,encoder.layers.encoder_layer_9.mlp.0,weight,0.0115220807492733,0.17812389135360718,0.0623219795525074,2359296,"(3072, 768)"
29,encoder.layers.encoder_layer_9.mlp.3,weight,0.015657637268304825,0.23235447704792023,0.06262842565774918,2359296,"(768, 3072)"
30,encoder.layers.encoder_layer_10.self_attention.out_proj,weight,0.0107404924929142,0.1653883159160614,0.0623253732919693,589824,"(768, 768)"
31,encoder.layers.encoder_layer_10.mlp.0,weight,0.011113060638308525,0.17197206616401672,0.062351226806640625,2359296,"(3072, 768)"
32,encoder.layers.encoder_layer_10.mlp.3,weight,0.013210296630859375,0.1992289274930954,0.0625033900141716,2359296,"(768, 3072)"
33,encoder.layers.encoder_layer_11.self_attention.out_proj,weight,0.011157565750181675,0.1715935617685318,0.0619744211435318,589824,"(768, 768)"
34,encoder.layers.encoder_layer_11.mlp.0,weight,0.0112448800355196,0.17428334057331085,0.0626746267080307,2359296,"(3072, 768)"
35,encoder.layers.encoder_layer_11.mlp.3,weight,0.0135481096804142,0.20151138305664062,0.06271786242723465,2359296,"(768, 3072)"
36,heads.head,weight,0.006832031067460775,0.10887369513511658,0.06252473592758179,768000,"(1000, 768)"
