layer_idx,layer_name,kind,tensor_zero_ratio,msb_zero_ratio,lsb_zero_ratio,num_forwards,total_numel_seen
0,model.0.conv,input_activation,0.017776212422177196,0.16889918953180313,0.07212093874812125,25,245760000
1,model.1.conv,input_activation,0.30988054037094115,0.8768423938751221,0.3117878794670105,25,2621440000
2,model.2.cv1.conv,input_activation,0.17029144883155822,0.6907184267044068,0.17449159502983094,25,1310720000
3,model.2.cv2.conv,input_activation,0.06852038711309433,0.6202318167686462,0.0977249962091446,25,655360000
4,model.3.conv,input_activation,0.14659214854240418,0.7695000576972961,0.1520526158809662,25,1310720000
5,model.4.0.cv1.conv,input_activation,0.05343994617462158,0.48294751763343813,0.06468121737241744,25,655360000
6,model.4.0.cv2.conv,input_activation,0.040140417963266374,0.4386552441120148,0.0633159852027893,25,327680000
7,model.4.1.cv1.conv,input_activation,0.05254844531416893,0.4543511509895325,0.062623530626297,25,655360000
8,model.4.1.cv2.conv,input_activation,0.05741252139210701,0.4603577482700348,0.06650685459375381,25,327680000
9,model.5.conv,input_activation,0.07580392256379127,0.4772770535945892,0.0806883230805397,25,655360000
10,model.6.0.cv1.conv,input_activation,0.08110923409461974,0.5185254049301148,0.08823518484830856,25,327680000
11,model.6.0.cv2.conv,input_activation,0.06443845212459565,0.34582314372062684,0.06943514376878739,25,163840000
12,model.6.1.cv1.conv,input_activation,0.062003085166215895,0.5307481491565704,0.07063045650720597,25,327680000
13,model.6.1.cv2.conv,input_activation,0.05710335686802864,0.31532639741897583,0.06182111203670502,25,163840000
14,model.6.2.cv1.conv,input_activation,0.05644018232822418,0.4829006135463715,0.06462587922811508,25,327680000
15,model.6.2.cv2.conv,input_activation,0.05647174060344696,0.29771210193634035,0.060276349186897275,25,163840000
16,model.6.3.cv1.conv,input_activation,0.05694988116621971,0.4567630732059479,0.06393970668315888,25,327680000
17,model.6.3.cv2.conv,input_activation,0.04533914178609848,0.2296271187067032,0.04793099954724312,25,163840000
18,model.6.4.cv1.conv,input_activation,0.05578225418925285,0.43870379447937013,0.06248002916574478,25,327680000
19,model.6.4.cv2.conv,input_activation,0.04108056031167507,0.1894708013534546,0.04271972075104714,25,163840000
20,model.6.5.cv1.conv,input_activation,0.05153789326548577,0.41866949677467347,0.05898849174380302,25,327680000
21,model.6.5.cv2.conv,input_activation,0.03546546623110771,0.14542039215564728,0.03643794536590576,25,163840000
22,model.6.6.cv1.conv,input_activation,0.054420672506093976,0.4235560512542725,0.06094169959425926,25,327680000
